定义,数据元类型,备注,计量单位,相关环境,分类编号,数据元名称,中文全拼,值域,同义名称,英文名称,关键字,数据格式,
 用于停靠船舶、货物装卸的水工建筑物，即码头的规范化汉字名称。,字符型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． １。,,,ＧＳＨ０１０１０００００１,港口码头名称,ｇａｎｇ?ｋｏｕ?ｍａ?ｔｏｕ?ｍｉｎｇ?ｃｈｅｎｇ,,,ＰｏｒｔＴｅｒｍｉｎａｌＮａｍｅ,港口、码头、名称,ａｎ． ． １００,
 用于停靠船舶、货物装卸的水工建筑物，即码头的规范化汉字名称的编码。,字符型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． ２。,,,ＧＳＨ０１０１０００００２,港口码头代码,ｇａｎｇ?ｋｏｕ?ｍａ?ｔｏｕ?ｄａｉ?ｍａ,,,ＰｏｒｔＴｅｒｍｉｎａｌＣｏｄｅ,港口、码头、代码,ａｎ． ． ３０,
 码头的靠泊并进行装卸货物、上下旅客等日常作业最大满载船舶的载重吨级。,数字型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． ３。,吨（ｔ）,,ＧＳＨ０１０１０００００３,码头靠泊能力,ｍａ?ｔｏｕ?ｋａｏ?ｂｏ?ｎｅｎｇ?ｌｉ,,,ＴｅｒｍｉｎａｌＢｅｒｔｈｉｎｇＣａｐａｃｉｔｙ,码头、靠泊、能力,ｎ． ． ７,
 码头的形式。,字符型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． ４。,,交通统计信息基础数据元,ＧＳＨ０１０１０００００４,码头形式,ｍａ?ｔｏｕ?ｘｉｎｇ?ｓｈｉ,见 ６． １． １,泊位结构形式,ＴｅｒｍｉｎａｌＴｙｐｅ,码头、形式,ｎ． ． ２,
,,,,,,,,,,,,,
 泊位所属港区的规范化汉字名称。,字符型,,,,,码头所在港区名称,ｍａ?ｔｏｕ?ｓｕｏ?ｚａｉ?ｇａｎｇ?ｑｕ?ｍｉｎｇ?ｃｈｅｎｇ,,, ＴｅｒｍｉｎａｌＬｏｃａｔｅｄＨａｒｂｏｕｒＤｉｓｔｒｉｃｔＮａｍｅ,码头、所在、港区名称,ａｎ． ． １００,
,,,,,,,,,,,,,
 泊位所在港区的编号。,字符型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． ６。,,,ＧＳＨ０１０１０００００６,所在港区编号,ｓｕｏ?ｚａｉ?ｇａｎｇ?ｑｕ?ｂｉａｎ?ｈａｏ,,,ＨａｒｂｏｕｒＤｉｓｔｒｉｃｔＮｕｍｂｅｒ,,ａｎ． ． ４,
 码头所属企业的规范化汉字名称。,字符型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． ７。,,,ＧＳＨ０１０１０００００７,所属企业名称,ｓｕｏ?ｓｈｕ?ｑｉ?ｙｅ?ｍｉｎｇ?ｃｈｅｎｇ,,,ＴｅｒｍｉｎａｌＯｗｎｅｒＣｏｍｐａｎｙＮａｍｅ,,ａｎ． ． １００,
 码头的用途分类代码。,数字型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． ８。,,交通统计信息基础数据元,ＧＳＨ０１０１０００００８,码头用途代码,ｍａ?ｔｏｕ?ｙｏｎｇ?ｔｕ?ｄａｉ?ｍａ,见 ６． １． ２,泊位主要用途,ＴｅｒｍｉｎａｌＵｓｅＣｏｄｅ,码头、用途、代码,ｎ． ． ３,
 码头泊位的实际数量。,数字型,引用 ＪＴ ／ Ｔ ６９７． ３—２０１３ 的 ４． １． ３． ９。,个,交通统计信息基础数据元,ＧＳＨ０１０１０００００９,码头泊位个数,ｍａ?ｔｏｕ?ｂｏ?ｗｅｉ?ｇｅ?ｓｈｕ,,泊位个数,ＴｅｒｍｉｎａｌＢｅｒｔｈＮｕｍｂｅｒ,码头、泊位、个数,ｎ． ． ３,
,,,,,ＧＳＨ０１０１００００１０,码头设计货物吞吐量,ｍａ?ｔｏｕ?ｓｈｅ?ｊｉ?ｈｕｏ?,,,ＴｅｒｍｉｎａｌＤｅｓｉｇｎｅｄＣａｒｇｏＣａｐａｃｉｔｙ,,,
